Lô H?,Mã t?nh,Tr?m,??i tác thi công,TT ph? trách
7435,DBN,DBN0243,TMT,TTGPHTVT
7435,DBN,DBN0277,TMT,TTGPHTVT
7435,DBN,DBN0281,TMT,TTGPHTVT
7435,DBN,DBN0282,TMT,TTGPHTVT
7435,DBN,DBN0285-11,TMT,TTGPHTVT
7435,DBN,DBN0288,TMT,TTGPHTVT
7435,DBN,DBN0293,TMT,TTGPHTVT
7435,DBN,DBN0330,TMT,TTGPHTVT
7435,DBN,DBN0332-11,TMT,TTGPHTVT
7435,DBN,DBN0334,TMT,TTGPHTVT
7435,DBN,DBN0335,TMT,TTGPHTVT
7435,DBN,DBN0352-11,TMT,TTGPHTVT
7435,DBN,DBN0356,TMT,TTGPHTVT
7435,DBN,DBN0358,TMT,TTGPHTVT
7435,DBN,DBN0359,TMT,TTGPHTVT
7435,DBN,DBN0363,TMT,TTGPHTVT
7435,DBN,DBN0365,TMT,TTGPHTVT
7435,DBN,DBN0367,TMT,TTGPHTVT
7435,DBN,DBN0369,TMT,TTGPHTVT
7435,DBN,DBN0371,TMT,TTGPHTVT
7435,DBN,DBN0373,TMT,TTGPHTVT
7435,DBN,DBN0375,TMT,TTGPHTVT
7435,DBN,DBN0379,TMT,TTGPHTVT
7435,DBN,DBN0384,TMT,TTGPHTVT
7435,DBN,DBN0409,TMT,TTGPHTVT
7435,DBN,DBN0415,TMT,TTGPHTVT
7435,DBN,DBN0417,TMT,TTGPHTVT
7435,DBN,DBN0418,TMT,TTGPHTVT
7435,DBN,DBN0422,TMT,TTGPHTVT
7435,DBN,DBN0438,TMT,TTGPHTVT
7435,DBN,DBN0439-11,TMT,TTGPHTVT
7435,DBN,DBN0448,TMT,TTGPHTVT
7435,DBN,DBN3963,TMT,TTGPHTVT
7435,DBN,DBN3974-33,TMT,TTGPHTVT
7435,DBN,DBN8001,TMT,TTGPHTVT
7435,DBN,DBN8002,TMT,TTGPHTVT
7435,HBH,HBH0003,Royal,TTKV1
7435,HBH,HBH0005,Royal,TTKV1
7435,HBH,HBH0009,Royal,TTKV1
7435,HBH,HBH0014,Royal,TTKV1
7435,HBH,HBH0023,Royal,TTKV1
7435,HBH,HBH0027,Royal,TTKV1
7435,HBH,HBH0035,Royal,TTKV1
7435,HBH,HBH0036,Royal,TTKV1
7435,HBH,HBH0039,Royal,TTKV1
7435,HBH,HBH0043,Royal,TTKV1
7435,HBH,HBH0045,Royal,TTKV1
7435,HBH,HBH0048,Royal,TTKV1
7435,HBH,HBH0056,Royal,TTKV1
7435,HBH,HBH0061,Royal,TTKV1
7435,HBH,HBH0066,Royal,TTKV1
7435,HBH,HBH0068,Royal,TTKV1
7435,HBH,HBH0069,Royal,TTKV1
7435,HBH,HBH0071,Royal,TTKV1
7435,HBH,HBH0075,Royal,TTKV1
7435,HBH,HBH0076,Royal,TTKV1
7435,HBH,HBH0080,Royal,TTKV1
7435,HBH,HBH0081,Royal,TTKV1
7435,HBH,HBH0083,Royal,TTKV1
7435,HBH,HBH0085,Royal,TTKV1
7435,HBH,HBH0088,Royal,TTKV1
7435,HBH,HBH0089,Royal,TTKV1
7435,HBH,HBH0099,Royal,TTKV1
7435,HBH,HBH0099-11,Royal,TTKV1
7435,HBH,HBH0113,Royal,TTKV1
7435,HBH,HBH0123,Royal,TTKV1
7435,HBH,HBH0124,Royal,TTKV1
7435,HBH,HBH0126,Royal,TTKV1
7435,HBH,HBH0127,Royal,TTKV1
7435,HBH,HBH0128,Royal,TTKV1
7435,HBH,HBH0134,Royal,TTKV1
7435,HBH,HBH0143,Royal,TTKV1
7435,HBH,HBH0145-11,Royal,TTKV1
7435,HBH,HBH0146,Royal,TTKV1
7435,HBH,HBH0148,Royal,TTKV1
7435,HBH,HBH0151-11,Royal,TTKV1
7435,HBH,HBH0152-12,Royal,TTKV1
7435,HBH,HBH0161,Royal,TTKV1
7435,HBH,HBH0166,Royal,TTKV1
7435,HBH,HBH0169,Royal,TTKV1
7435,HBH,HBH0174,Royal,TTKV1
7435,HBH,HBH0175,Royal,TTKV1
7435,HBH,HBH0175-11,Royal,TTKV1
7435,HBH,HBH0179,Royal,TTKV1
7435,HBH,HBH0181-11,Royal,TTKV1
7435,HBH,HBH0182,Royal,TTKV1
7435,HBH,HBH0187-11,Royal,TTKV1
7435,HBH,HBH0190,Royal,TTKV1
7435,HBH,HBH0197,Royal,TTKV1
7435,HBH,HBH0197-11,Royal,TTKV1
7435,HBH,HBH0203,Royal,TTKV1
7435,HBH,HBH0210,Royal,TTKV1
7435,HBH,HBH0230,Royal,TTKV1
7435,HBH,HBH0231,Royal,TTKV1
7435,HBH,HBH0232,Royal,TTKV1
7435,HBH,HBH0241,Royal,TTKV1
7435,HBH,HBH0261,Royal,TTKV1
7435,HBH,HBH0261-11,Royal,TTKV1
7435,HBH,HBH0261-12,Royal,TTKV1
7435,HBH,HBH0261-13,Royal,TTKV1
7435,HBH,HBH0264,Royal,TTKV1
7435,HBH,HBH0267,Royal,TTKV1
7435,HBH,HBH0275,Royal,TTKV1
7435,HBH,HBH0287,Royal,TTKV1
7435,HBH,HBH0288,Royal,TTKV1
7435,HBH,HBH0290,Royal,TTKV1
7435,HBH,HBH0292,Royal,TTKV1
7435,HBH,HBH0293,Royal,TTKV1
7435,HBH,HBH0327,Royal,TTKV1
7435,HBH,HBH0331,Royal,TTKV1
7435,HBH,HBH0332,Royal,TTKV1
7435,HBH,HBH0336,Royal,TTKV1
7435,HBH,HBH0338,Royal,TTKV1
7435,HBH,HBH0340,Royal,TTKV1
7435,HBH,HBH0347,Royal,TTKV1
7435,HBH,HBH0349,Royal,TTKV1
7435,HBH,HBH0361,Royal,TTKV1
7435,HBH,HBH0365,Royal,TTKV1
7435,HBH,HBH0383,Royal,TTKV1
7435,HBH,HBH0388,Royal,TTKV1
7435,HBH,HBH0389,Royal,TTKV1
7435,HBH,HBH0397,Royal,TTKV1
7435,HBH,HBH0398,Royal,TTKV1
7435,HBH,HBH0399,Royal,TTKV1
7435,HBH,HBH0405,Royal,TTKV1
7435,HBH,HBH0406,Royal,TTKV1
7435,HBH,HBH0410,Royal,TTKV1
7435,HBH,HBH0412,Royal,TTKV1
7435,HBH,HBH0413,Royal,TTKV1
7435,HBH,HBH0425,Royal,TTKV1
7435,HBH,HBH0426,Royal,TTKV1
7435,HBH,HBH0429,Royal,TTKV1
7435,HBH,HBH0430,Royal,TTKV1
7435,HBH,HBH0432,Royal,TTKV1
7435,HBH,HBH0436,Royal,TTKV1
7435,HBH,HBH0439,Royal,TTKV1
7435,HBH,HBH0445,Royal,TTKV1
7435,HBH,HBH0449,Royal,TTKV1
7435,HBH,HBH0456,Royal,TTKV1
7435,HBH,HBH0462,Royal,TTKV1
7435,HBH,HBH0476,Royal,TTKV1
7435,HBH,HBH0480,Royal,TTKV1
7435,HBH,HBH0484,Royal,TTKV1
7435,HBH,HBH0487,Royal,TTKV1
7435,HBH,HBH0488,Royal,TTKV1
7435,HBH,HBH0500,Royal,TTKV1
7435,HBH,HBH0511,Royal,TTKV1
7435,HBH,HBH0512-11,Royal,TTKV1
7435,HBH,HBH0515,Royal,TTKV1
7435,HBH,HBH0517,Royal,TTKV1
7435,HBH,HBH0525,Royal,TTKV1
7435,HBH,HBH0549,Royal,TTKV1
7435,HBH,HBH0567,Royal,TTKV1
7435,HBH,HBH0579-11,Royal,TTKV1
7435,HBH,HBH0584-11,Royal,TTKV1
7435,HBH,HBH0586,Royal,TTKV1
7435,HBH,HBH0595,Royal,TTKV1
7435,HBH,HBH0600-11,Royal,TTKV1
7435,HBH,HBH0604,Royal,TTKV1
7435,HBH,HBH8001,Royal,TTKV1
7435,HDG,HDG0004,NTC,TTGPHTVT
7435,HDG,HDG0010,NTC,TTGPHTVT
7435,HDG,HDG0011,NTC,TTGPHTVT
7435,HDG,HDG0020,NTC,TTGPHTVT
7435,HDG,HDG0023,NTC,TTGPHTVT
7435,HDG,HDG0024,NTC,TTGPHTVT
